Month	Oranges, Navel, per lb.	Chicken, fresh, whole, per lb.	Electricity per KWH09/01/01	0.996	0.097	0.916
10/01/01	1.01	0.093	0.916
11/01/01	0.867	1.133	0.09
12/01/01	0.713	1.109	0.09
01/01/02	0.715	1.091	0.089
02/01/02	0.759	1.111	0.089
03/01/02	0.71	1.11	0.089
04/01/02	0.751	1.11	0.088
05/01/02	0.849	1.094	0.089
06/01/02	1.011	0.095	0.975
07/01/02	1.015	0.095	0.99
08/01/02	1.012	0.095	1.053
09/01/02	1.016	0.095	1.055
10/01/02	1.163	1.027	0.091
11/01/02	0.998	1.044	0.089
12/01/02	0.742	1.048	0.089
01/01/03	0.713	1.004	0.089
02/01/03	0.711	1.031	0.089
03/01/03	0.728	1.049	0.089
04/01/03	0.742	1.053	0.091
05/01/03	0.8	1.031	0.092
06/01/03	0.875	1.033	0.097
07/01/03	1.002	0.098	1.15
08/01/03	0.996	0.098	1.277
09/01/03	0.994	0.098	1.257
10/01/03	1.141	1.022	0.093
11/01/03	0.971	1.068	0.09
12/01/03	0.862	1.05	0.09
01/01/04	0.793	1.062	0.091
02/01/04	0.725	1.06	0.091
03/01/04	0.73	1.1	0.091
04/01/04	0.744	1.12	0.091
05/01/04	0.77	1.039	0.093
06/01/04	0.878	1.06	0.099
07/01/04	0.985	0.099
08/01/04	0.996	0.1	1.277
09/01/04	1.142	1.078	0.099
10/01/04	0.972	0.094	1.089
11/01/04	1.08	1.039	0.092
12/01/04	0.865	1.03	0.092
01/01/05	0.838	1.026	0.094
02/01/05	0.802	1.038	0.094
03/01/05	0.783	1.061	0.094
04/01/05	0.816	1.07	0.095
05/01/05	0.899	1.052	0.097
06/01/05	1.012	1.075	0.104
07/01/05	1.067	1.067	0.105	1.165
08/01/05	1.06	0.105	1.166
09/01/05	1.363	1.056	0.106
10/01/05	1.388	1.062	0.102
11/01/05	1.172	1.059	0.102
12/01/05	0.885	1.061	0.102
01/01/06	0.837	1.062	0.108
02/01/06	0.915	1.045	0.108
03/01/06	0.888	1.047	0.109
04/01/06	0.876	1.054	0.109
05/01/06	0.99	1.034	0.11
06/01/06	1.119	1.055	0.118
07/01/06	1.27	1.04	0.118
08/01/06	1.088	0.118	1.244
09/01/06	1.483	1.063	0.118
10/01/06	1.423	1.038	0.112
11/01/06	1.2	1.049	0.11
12/01/06	0.958	1.057	0.11
01/01/07	1.092	1.033	0.113
02/01/07	1.375	1.039	0.113
03/01/07	1.301	1.064	0.113
04/01/07	1.243	1.115	0.113
05/01/07	1.268	1.118	0.115
